sampleid	paper_id	type	milk	loc	state	climate
Adobera_pasteurizada	AP	semi-hard	Pd	Tepatitlan	Jalisco	humid subtropical
Chihuahua	CHI	semi-soft	Pd	Ciudad-Cuauhtemoc	Chihuahua	tropical and subtropical steppe
